Thumbnail,https://cf.geekdo-images.com/ZLJGGk-mdU0oOdJZsuwQiQ__thumb/img/DGzMI-XsOoShFr1Y1XIo48MioNk=/fit-in/200x150/filters:strip_icc()/pic4316872.jpg
-2,Difficulty (2 = easy)
-1,Play Time (2 = short)
1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
-1,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,397598
Name,Dune: Imperium – Uprising <small>(2023)</small>
Beschreibung,"In Dune: Imperium Uprising, you want to continue to balance military might with political intrigue, wielding new tools in pursuit of victory. Spies will shore up your plans, vital contracts will expand your resources, or you can learn the ways of the Fremen and ride mighty sandworms into battle!&#10;&#10;Dune: Imperium Uprising is a standalone spinoff to Dune: Imperium that expands on that game's blend of deck-building and worker placement, while introducing a new six-player mode that pits two teams against one other in the biggest struggle yet. <br><strong>Languages</strong>: <span class='flags'><img  src='https://flagicons.lipis.dev/flags/4x3/de.svg' alt='German' title='German' /></span><span class='filter-values' data-player-number='3 4 6' data-mechanics='deckBuilding drafting workerPlacement' data-themes='politics scifi' ></span>"
Tagline,Compete in teams on Arrakis and learn to ride the sandworms.
Thumbnail,https://cf.geekdo-images.com/pzu8gdRPQSkKl_l8ococPQ__thumb/img/jQPXYn2WtObwZEJjLXhA0wG0130=/fit-in/200x150/filters:strip_icc()/pic7960698.jpg
-1,Difficulty (2 = easy)
-1,Play Time (2 = short)
0,Cooperative vs. competetive (1 = cooperative)
0,Conflict (1 = low conflict)
0,Language Dependence (2 = no text)
2,Release year (2 = new)
#####,Freizeile
ID,220308
Name,Gaia Project <small>(2017)</small>
Beschreibung,"Gaia Project is a new game in the line of Terra Mystica. As in the original Terra Mystica, fourteen different factions live on seven different kinds of planets, and factions are bound to their own home planets, so to develop and grow, they must terraform neighboring planets into their home environments in competition with the other groups. In addition, Gaia planets can be used by all factions for colonization, and Transdimensional planets can be changed into Gaia planets. <span class='filter-values' data-player-number='1 2 3 4' data-mechanics='networks' data-themes='economy-infrastructure scifi' ></span>"
Tagline,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species."
Thumbnail,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__thumb/img/NNG7Ijyx4evp5gcVReis9i0koas=/fit-in/200x150/filters:strip_icc()/pic5375625.png
-2,Difficulty (2 = easy)
-2,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
0,Conflict (1 = low conflict)
2,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,84876
Name,Die Burgen von Burgund <small>(2011)</small>
Beschreibung,"For the 2019 edition see The Castles of Burgundy.&#10;&#10;The game is set in the Burgundy region of High Medieval France. Each player takes on the role of an aristocrat, originally controlling a small princedom. While playing they aim to build settlements and powerful castles, practice trade along the river, exploit silver mines, and use the knowledge of travelers. <br><strong>Languages</strong>: <span class='flags'><img  src='https://flagicons.lipis.dev/flags/4x3/gb.svg' alt='English' title='English' /><img  src='https://flagicons.lipis.dev/flags/4x3/fr.svg' alt='French' title='French' /><img  src='https://flagicons.lipis.dev/flags/4x3/de.svg' alt='German' title='German' /></span><span class='filter-values' data-player-number='2 3 4' data-mechanics='drafting tilePlacement' data-themes='oldHistory animals' ></span>"
Tagline,"Plan, trade, and build your Burgundian estate to prosperity and prominence."
Thumbnail,https://cf.geekdo-images.com/EjNT_KreRKIzvxylmtui7g__thumb/img/TaDLylCXV43T8JKD03rW-VzSs7c=/fit-in/200x150/filters:strip_icc()/pic3974123.jpg
0,Difficulty (2 = easy)
0,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
2,Language Dependence (2 = no text)
-1,Release year (2 = new)
#####,Freizeile
ID,193738
Name,Great Western Trail <small>(2016)</small>
Beschreibung,"America in the 19th century: You are a rancher and repeatedly herd your cattle from Texas to Kansas City, where you send them off by train. This earns you money and victory points. Needless to say, each time you arrive in Kansas City, you want to have your most valuable cattle in tow. However, the &quot;Great Western Trail&quot; not only requires that you keep your herd in good shape, but also that you wisely use the various buildings along the trail. <span class='filter-values' data-player-number='2 3 4' data-mechanics='deckBuilding' data-themes='animals economy-infrastructure newHistory' ></span>"
Tagline,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.
Thumbnail,https://cf.geekdo-images.com/u1l0gH7sb_vnvDvoO_QHqA__thumb/img/9lxFidyDb8j6D1vobx4e3UwZ-FI=/fit-in/200x150/filters:strip_icc()/pic4887376.jpg
-2,Difficulty (2 = easy)
-2,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
2,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,246900
Name,Eclipse: Second Dawn for the Galaxy <small>(2020)</small>
Beschreibung,"A game of Eclipse places you in control of a vast interstellar civilization, competing for success with its rivals. You explore new star systems, research technologies, and build spaceships with which to wage war. There are many potential paths to victory, so you need to plan your strategy according to the strengths and weaknesses of your species, while paying attention to the other civilizations' endeavors. <br><strong>Languages</strong>: <span class='flags'><img  src='https://flagicons.lipis.dev/flags/4x3/de.svg' alt='German' title='German' /></span><span class='filter-values' data-player-number='2 3 4 5 6' data-mechanics='areaControl areaControl' data-themes='adventure economy-infrastructure scifi war' ></span>"
Tagline,"Build an interstellar civilization by exploration, research, conquest, and diplomacy."
Thumbnail,https://cf.geekdo-images.com/zhBsoi_uUUNhd-r3V-Z9LA__thumb/img/Bl5M0N-PrMLUwMfRM_1pxmeYP6I=/fit-in/200x150/filters:strip_icc()/pic5665834.jpg
-2,Difficulty (2 = easy)
-2,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
-1,Conflict (1 = low conflict)
1,Language Dependence (2 = no text)
1,Release year (2 = new)
#####,Freizeile
ID,169786
Name,Scythe <small>(2016)</small>
Beschreibung,"It is a time of unrest in 1920s Europa. The ashes from the first great war still darken the snow. The capitalistic city-state known simply as &ldquo;The Factory&rdquo;, which fueled the war with heavily armored mechs, has closed its doors, drawing the attention of several nearby countries.&#10;&#10;Scythe is an engine-building game set in a 1920s era, alternate-history. <span class='filter-values' data-player-number='3 4 5' data-mechanics='areaControl areaControl' data-themes='economy-infrastructure scifi war' ></span>"
Tagline,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe."
Thumbnail,https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__thumb/img/eQ69OEDdjYjfKg6q5Navee87skU=/fit-in/200x150/filters:strip_icc()/pic3163924.jpg
-1,Difficulty (2 = easy)
-1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
-1,Conflict (1 = low conflict)
0,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,173346
Name,7 Wonders Duel <small>(2015)</small>
Beschreibung,"In many ways 7 Wonders Duel resembles its parent game 7 Wonders. Over three ages, players acquire cards that provide resources or advance their military or scientific development in order to develop a civilization and complete wonders. What's different about 7 Wonders Duel is that, as the title suggests, the game is solely for two players. <span class='filter-values' data-player-number='2' data-mechanics='cards drafting' data-themes='oldHistory economy-infrastructure' ></span>"
Tagline,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?
Thumbnail,https://cf.geekdo-images.com/zdagMskTF7wJBPjX74XsRw__thumb/img/gV1-ckZSIC-dCxxpq1Y7GmPITzQ=/fit-in/200x150/filters:strip_icc()/pic2576399.jpg
1,Difficulty (2 = easy)
2,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
-1,Conflict (1 = low conflict)
2,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,167355
Name,Nemesis <small>(2018)</small>
Beschreibung,"Playing Nemesis will take you into the heart of sci-fi survival horror in all its terror. A soldier fires blindly down a corridor, trying to stop the alien advance. A scientist races to find a solution in his makeshift lab. A traitor steals the last escape pod in the very last moment. <br><strong>Languages</strong>: <span class='flags'><img  src='https://flagicons.lipis.dev/flags/4x3/de.svg' alt='German' title='German' /></span><span class='filter-values' data-player-number='2 3 4 5' data-mechanics='dungeonCrawler' data-themes='adventure horror scifi' ></span>"
Tagline,"Survive an alien-infested spaceship, but beware of other players and their agendas!"
Thumbnail,https://cf.geekdo-images.com/4IzvroGBVUS4OY09v9UBaQ__thumb/img/TxJjx-MFXSEeBBB4iNKQI6dAbdI=/fit-in/200x150/filters:strip_icc()/pic4995288.jpg
-1,Difficulty (2 = easy)
-2,Play Time (2 = short)
1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
0,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,177736
Name,A Feast for Odin <small>(2016)</small>
Beschreibung,"A Feast for Odin is a saga in the form of a board game. You are reliving the cultural achievements, mercantile expeditions, and pillages of those tribes we know as Viking today &mdash; a term that was used quite differently towards the end of the first millennium.&#10;&#10;When the northerners went out for a raid, they used to say they headed out for a viking. <span class='filter-values' data-player-number='1 2 3 4' data-mechanics='tilePlacement workerPlacement' data-themes='oldHistory animals economy-infrastructure' ></span>"
Tagline,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore."
Thumbnail,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__thumb/img/AKxMMz2DTbBrEynhDROla8fdjJ4=/fit-in/200x150/filters:strip_icc()/pic3146943.png
-2,Difficulty (2 = easy)
-1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
0,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,124361
Name,Concordia <small>(2013)</small>
Beschreibung,"Two thousand years ago, the Roman Empire ruled the lands around the Mediterranean Sea. With peace at the borders, harmony inside the provinces, uniform law, and a common currency, the economy thrived and gave rise to mighty Roman dynasties as they expanded throughout the numerous cities. Guide one of these dynasties and send colonists to the remote realms of the Empire; develop your trade network; and appease the ancient gods for their favor &mdash; all to gain the chance to emerge victorious! <span class='filter-values' data-player-number='2 3 4 5' data-mechanics='deckBuilding drafting networks' data-themes='oldHistory economy-infrastructure nautical' ></span>"
Tagline,Traders compete to build the greatest empire in the Roman Mediterranean.
Thumbnail,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__thumb/img/ESPSltYYSFK-aJw6jOTdQrJGpOc=/fit-in/200x150/filters:strip_icc()/pic3453267.jpg
0,Difficulty (2 = easy)
-1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
0,Language Dependence (2 = no text)
-1,Release year (2 = new)
#####,Freizeile
ID,312484
Name,Lost Ruins of Arnak <small>(2020)</small>
Beschreibung,"On an uninhabited island in uncharted seas, explorers have found traces of a great civilization. Now you will lead an expedition to explore the island, find lost artifacts, and face fearsome guardians, all in a quest to learn the island's secrets.&#10;&#10;Lost Ruins of Arnak combines deck-building and worker placement in a game of exploration, resource management, and discovery. <span class='filter-values' data-player-number='1 2 3 4' data-mechanics='deckBuilding drafting workerPlacement' data-themes='adventure fantasy' ></span>"
Tagline,Explore an island to find resources and discover the lost ruins of Arnak.
Thumbnail,https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__thumb/img/J8SVmGOJXZGxNjkT3xYNQU7Haxg=/fit-in/200x150/filters:strip_icc()/pic5674958.jpg
0,Difficulty (2 = easy)
-1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
0,Conflict (1 = low conflict)
0,Language Dependence (2 = no text)
1,Release year (2 = new)
#####,Freizeile
ID,237182
Name,Root <small>(2018)</small>
Beschreibung,"Root is a game of adventure and war in which 2 to 4 (1 to 6 with the 'Riverfolk' expansion) players battle for control of a vast wilderness. Like Vast: The Crystal Caverns, each player in Root has unique capabilities and a different victory condition. Now, with the aid of gorgeous, multi-use cards, a truly asymmetric design has never been more accessible. <span class='filter-values' data-player-number='3 4' data-mechanics='areaControl trading areaControl' data-themes='animals fantasy war' ></span>"
Tagline,Decide the fate of the forest as woodland factions fight for contrasting goals.
Thumbnail,https://cf.geekdo-images.com/JUAUWaVUzeBgzirhZNmHHw__thumb/img/ACovMZzGGIsBRyEQXFnsT8282NM=/fit-in/200x150/filters:strip_icc()/pic4254509.jpg
-2,Difficulty (2 = easy)
0,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
-1,Conflict (1 = low conflict)
-1,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,120677
Name,Terra Mystica <small>(2012)</small>
Beschreibung,"In the land of Terra Mystica dwell 14 different peoples in seven landscapes, and each group is bound to its own home environment, so to develop and grow, they must terraform neighboring landscapes into their home environments in competition with the other groups.&#10;&#10;Terra Mystica is a full information game, without any luck, that rewards strategic planning. Each player governs one of the 14 groups. <span class='filter-values' data-player-number='3 4 5' data-mechanics='networks' data-themes='economy-infrastructure fantasy' ></span>"
Tagline,Play fantastical factions.  Expand your influence by terraforming and joining cults.
Thumbnail,https://cf.geekdo-images.com/bre12I1YiXkZr7elvriz4A__thumb/img/GW-ip0dfeAee7KQqJ04SRZxF1lg=/fit-in/200x150/filters:strip_icc()/pic5375624.jpg
-2,Difficulty (2 = easy)
-2,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
0,Conflict (1 = low conflict)
2,Language Dependence (2 = no text)
-1,Release year (2 = new)
#####,Freizeile
ID,266192
Name,Wingspan <small>(2019)</small>
Beschreibung,"Wingspan is&nbsp;a competitive, medium-weight, card-driven, engine-building board game from Stonemaier Games. It's designed by Elizabeth Hargrave and features 180 birds illustrated by Natalia Rojas and Ana Maria Martinez.&#10;&#10;You are bird enthusiasts&mdash;researchers, bird watchers, ornithologists, and collectors&mdash;seeking to discover and attract the best birds to your network of wildlife preserves. <span class='filter-values' data-player-number='1 2 3 4' data-mechanics='cards drafting' data-themes='animals' ></span>"
Tagline,Attract a beautiful and diverse collection of birds to your wildlife preserve.
Thumbnail,https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__thumb/img/VNToqgS2-pOGU6MuvIkMPKn_y-s=/fit-in/200x150/filters:strip_icc()/pic4458123.jpg
0,Difficulty (2 = easy)
1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
-1,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,373106
Name,Sky Team <small>(2023)</small>
Beschreibung,"Sky Team is a co-operative game, exclusively for two players, in which you play a pilot and co-pilot at the controls of an airliner. Your goal is to work together as a team to land your airplane in different airports around the world.&#10;&#10;To land your plane, you need to silently assign your dice to the correct spaces in your cockpit to balance the axis of your plane, control its speed, deploy the flaps, extend the landing gear, contact the control tower to clear your path, and even have a little coffee to improve your concentration enough to change the value of your dice. <span class='filter-values' data-player-number='2' data-mechanics='workerPlacement' data-themes='trains' ></span>"
Tagline,Pilot and co-pilot work together to land planes.
Thumbnail,https://cf.geekdo-images.com/uXMeQzNenHb3zK7Hoa6b2w__thumb/img/WyPClajMWU9lV5BdCXiZnqdZgmU=/fit-in/200x150/filters:strip_icc()/pic7398904.jpg
1,Difficulty (2 = easy)
2,Play Time (2 = short)
1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
1,Language Dependence (2 = no text)
2,Release year (2 = new)
#####,Freizeile
ID,251247
Name,Barrage <small>(2019)</small>
Beschreibung,"In the dystopic 1930s, the industrial revolution pushed the exploitation of fossil-based resources to the limit, and now the only thing powerful enough to quench the thirst for power of the massive machines and of the unstoppable engineering progress is the unlimited hydroelectric energy provided by the rivers.&#10;&#10;Barrage is a resource management strategic game in which players compete to build their majestic dams, raise them to increase their storing capacity, and deliver all the potential power through pressure tunnels connected to the energy turbines of their powerhouses.&#10;&#10;Each player represents one of the four international companies who are gathering machinery, innovative patents and brilliant engineers to claim the best locations to collect and exploit the water of a contested Alpine region crossed by rivers. <span class='filter-values' data-player-number='2 3 4' data-mechanics='networks workerPlacement' data-themes='animals arts economy-infrastructure' ></span>"
Tagline,Nations vie for hydroelectric dominance in a dystopia where water is power.
Thumbnail,https://cf.geekdo-images.com/jEPmWvvYpqkWrKOzqIHFsg__thumb/img/kMLIpeqA6UcUvQg2AdMwwQoEIfU=/fit-in/200x150/filters:strip_icc()/pic4336469.png
-2,Difficulty (2 = easy)
-1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
-1,Conflict (1 = low conflict)
2,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,324856
Name,Die Crew: Mission Tiefsee <small>(2021)</small>
Beschreibung,"The Crew: Mission Deep Sea plunges players into a cooperative card game unlike any other. As members of a deep-sea expedition, you and your fellow crew are on a quest to locate the lost continent of Mu&mdash;but your success depends on precision, teamwork, and a shared sense of timing.&#10;&#10;Each mission presents a new puzzle made up of unique tasks: perhaps one player must win a specific card, while another must avoid it entirely. <span class='filter-values' data-player-number='3 4 5' data-mechanics='cards deduction' data-themes='adventure fantasy nautical' ></span>"
Tagline,Dive into the deep sea in this co-operative trick-taking game.
Thumbnail,https://cf.geekdo-images.com/VuBqZ1sMaDAVVHF_OEJP4g__thumb/img/EdacXlcFZ06YK0-ZKa0oKwL4VCw=/fit-in/200x150/filters:strip_icc()/pic5988903.jpg
1,Difficulty (2 = easy)
2,Play Time (2 = short)
1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
0,Language Dependence (2 = no text)
1,Release year (2 = new)
#####,Freizeile
ID,199792
Name,Everdell <small>(2018)</small>
Beschreibung,"Within the charming valley of Everdell, beneath the boughs of towering trees, among meandering streams and mossy hollows, a civilization of forest critters is thriving and expanding. From Everfrost to Bellsong, many a year have come and gone, but the time has come for new territories to be settled and new cities established. You will be the leader of a group of critters intent on just such a task. <span class='filter-values' data-player-number='2 3 4' data-mechanics='cards drafting workerPlacement' data-themes='animals economy-infrastructure fantasy' ></span>"
Tagline,Gather resources to develop a harmonious village of woodland critters and structures.
Thumbnail,https://cf.geekdo-images.com/fjE7V5LNq31yVEW_yuqI-Q__thumb/img/Cf_mYxR_VvdjTEPXseSurni2JNI=/fit-in/200x150/filters:strip_icc()/pic3918905.png
0,Difficulty (2 = easy)
0,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
1,Conflict (1 = low conflict)
-1,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,366013
Name,Heat: Pedal to the Metal <small>(2022)</small>
Beschreibung,"Based on simple and intuitive hand management, Heat: Pedal to the Metal puts players in the driver's seat of intense car races, jockeying for position to cross the finish line first, while managing their car's speed if they don't want to overheat. Selecting the right upgrades for their car will help them hug the curves and keep their engine cool enough to maintain top speeds. Ultimately, their driving skills will be the key to victory! <br><strong>Languages</strong>: <span class='flags'><img  src='https://flagicons.lipis.dev/flags/4x3/de.svg' alt='German' title='German' /></span><span class='filter-values' data-player-number='1 2 3 4 5 6' data-mechanics='deckBuilding' data-themes='trains' ></span>"
Tagline,Manage your race car's speed to keep from overheating.
Thumbnail,https://cf.geekdo-images.com/VkVnfpnsoP3aniEwVSnT9w__thumb/img/cLaHgAF--1IBAKLhQGtpjJT2bJ4=/fit-in/200x150/filters:strip_icc()/pic7389447.jpg
1,Difficulty (2 = easy)
1,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
0,Conflict (1 = low conflict)
2,Language Dependence (2 = no text)
1,Release year (2 = new)
#####,Freizeile
ID,175914
Name,Food Chain Magnate <small>(2015)</small>
Beschreibung,"&quot;Lemonade? They want lemonade? What is the world coming to? I want commercials for burgers on all channels, every 15 minutes. <span class='filter-values' data-player-number='2 3 4' data-mechanics='drafting' data-themes='economy-infrastructure' ></span>"
Tagline,Strategically hire and manage your workforce to outcompete rival fast food chains.
Thumbnail,https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__thumb/img/LKU2KoMev222qUIKyNqaCF_ZLPY=/fit-in/200x150/filters:strip_icc()/pic2649434.png
-2,Difficulty (2 = easy)
-2,Play Time (2 = short)
-1,Cooperative vs. competetive (1 = cooperative)
-1,Conflict (1 = low conflict)
1,Language Dependence (2 = no text)
0,Release year (2 = new)
#####,Freizeile
ID,256960
